Number,Lemma,PoS,tikhonov_roots_raw,deterministic_roots,kuznetsova_homonym_candidates,roots
36429,расхлебывать,v,хлеб,,хлеб => хлеб-1|хлеб-2,
36461,расческа,s,чес,,чес => чес-1|чес-2,
36462,расчесывать,v,чес,,чес => чес-1|чес-2,
36977,ресурсосберегающий,a,"ресурс,берег",ресурс,берег => берег-1|берег-2,
37148,рогоносец,s,"рог,нос",рог,нос => нос-1|нос-2,
37313,ротационный,a,рот,,рот => рот-1|рот-2,
37314,ротация,s,рот,,рот => рот-1|рот-2,
37321,ротозей,s,"рот,зе",зев,рот => рот-1|рот-2,
37401,рукопожатие,s,"рук,жа",рук,жа => жа-1|жа-2,
37402,рукоположение,s,"рук,лож",рук,лож => лож-1|лож-2,
37403,рукоположить,v,"рук,лож",рук,лож => лож-1|лож-2,
37443,русоволосый,a,"рус,волос",волос,рус => рус-1|рус-2,
37446,русофобский,a,"рус,фоб",фоб,рус => рус-1|рус-2,
37454,русскоязычный,a,"рус,языч",языч,рус => рус-1|рус-2,
37455,русско-японский,a,"рус,япон",япон,рус => рус-1|рус-2,
37500,рыжебородый,a,"рыж,бород",бород,рыж => рыж-1|рыж-2,
37602,садовод,s,"сад,вод",сад,вод => вод-1|вод-2,
37603,садоводство,s,"сад,вод",сад,вод => вод-1|вод-2,
37604,садоводческий,a,"сад,вод",сад,вод => вод-1|вод-2,
37682,самовозгорание,s,"сам,воз,гор","сам,воз",гор => гор-1|гор-2,
37683,самоволка,s,"сам,вол",сам,вол => вол-1|вол-2,
37724,самокат,s,"сам,кат",сам,кат => кат-1|кат-2,
37731,самолет,s,"сам,лет",сам,лет => лет-1|лет-2,
37733,самолетный,a,"сам,лет",сам,лет => лет-1|лет-2,
37734,самолето-вылет,s,"сам,лет,лет",сам,лет => лет-1|лет-2; лет => лет-1|лет-2,
37735,самолетостроение,s,"сам,лет,стро","сам,стро(j)",лет => лет-1|лет-2,
37757,самоокупаемость,s,"сам,куп",сам,куп => куп-1|куп-2|куп-3,
37767,самоотдача,s,"сам,да",сам,да => да-1|да-2|да-3,
37773,самопал,s,"сам,пал",сам,пал => пал-1|пал-2|пал-3|пал-4,
37804,самосуд,s,"сам,суд",сам,суд => суд-1|суд-2,
37811,самоуверенность,s,"сам,вер",сам,вер => вер-1|вер-2|вер-3,
37830,самоцель,s,"сам,цель",сам,цель => цел-1|цел-2,
37843,санация,s,сан,,сан => сан-1|сан-2,
37844,санбат,s,"сан,бат",бат,сан => сан-1|сан-2,
37851,санинструктор,s,"сан,инструкт",инструкт,сан => сан-1|сан-2,
37866,санпропускник,s,"сан,пуск",пуск,сан => сан-1|сан-2,
37869,сантехник,s,"сан,техн",техн,сан => сан-1|сан-2,
37871,сантехнический,a,"сан,техн",техн,сан => сан-1|сан-2,
37875,санузел,s,"сан,узел",уз-1,сан => сан-1|сан-2,
37876,санчасть,s,"сан,часть",част-1,сан => сан-1|сан-2,
37877,санэпидстанция,s,"сан,эпид,станци","эпид,станци(j)",сан => сан-1|сан-2,
37977,сборная,s,бор,,бор => бор-1|бор-2|бор-3,
38033,свежевыбритый,a,"свеж,бр",свеж,бр => бр-1|бр-2,
38062,свернутый,a,вер,,вер => вер-1|вер-2|вер-3,
38089,сверхпроводящий,a,вод,,вод => вод-1|вод-2,
38140,светло-русый,a,"свет,рус",свет,рус => рус-1|рус-2,
38141,светло-серый,a,"свет,сер",свет,сер => сер-1|сер-2,
38151,светоносный,a,"свет,нос",свет,нос => нос-1|нос-2,
38187,свиноводство,s,"свин,вод",свин,вод => вод-1|вод-2,
38233,своеволие,s,"сво,вол",сво(j),вол => вол-1|вол-2,
38265,связанный,a,вяз,,вяз => вяз-1|вяз-2,
38445,седобородый,a,"сед,бород",бород,сед => сед-1|сед-2,
38447,седовласый,a,"сед,влас",влас,сед => сед-1|сед-2,
38458,сейсморазведка,s,"сейсм,вед",сейсм,вед => вед-1|вед-2,
38501,секундомер,s,"секунд,мер",секунд,мер => мер-1|мер-2|мер-3,
38552,семантика,s,сем,,сем => сем-1|сем-2|сем-3,
38566,семерка,s,сем,,сем => сем-1|сем-2|сем-3,
38569,семидесятилетие,s,"сем,десят,лет",десят,сем => сем-1|сем-2|сем-3; лет => лет-1|лет-2,
38571,семидневный,a,"сем,дн",,сем => сем-1|сем-2|сем-3; дн => дн-1|дн-2,
38573,семилетний,a,"сем,лет",,сем => сем-1|сем-2|сем-3; лет => лет-1|лет-2,
38574,семимильный,a,"сем,миль",мил,сем => сем-1|сем-2|сем-3,
38584,семнадцатилетний,a,"сем,дцат,лет",дцат,сем => сем-1|сем-2|сем-3; лет => лет-1|лет-2,
38588,семядоля,s,"сем,дол",,сем => сем-1|сем-2|сем-3; дол => дол-1|дол-2,
38598,сеновал,s,"сен,вал",вал,сен => сен-1|сен-2|сен-3,
38599,сенокос,s,"сен,кос",,сен => сен-1|сен-2|сен-3; кос => кос-1|кос-2|кос-3|кос-4,
38654,сердобольный,a,"серд,боль",серд,боль => бол-1|бол-2,
38662,серебристо-серый,a,"серебр,сер",серебр,сер => сер-1|сер-2,
38692,сероводород,s,"сер,водород",водород,сер => сер-1|сер-2,
38693,сероводородный,a,"сер,водород",водород,сер => сер-1|сер-2,
38694,сероглазый,a,"сер,глаз",глаз,сер => сер-1|сер-2,
38697,серозный,a,сер,,сер => сер-1|сер-2,
38699,серологический,a,"сер,лог",лог,сер => сер-1|сер-2,
38768,сжирать,v,жир,,жир => жир-1|жир-2,
39049,скатерть-самобранка,s,"скатерть,сам,бр","скатер,сам",бр => бр-1|бр-2,
39188,скопировать,v,коп,,коп => коп-1|коп-2|коп-3,
39208,скоропортящийся,a,"скор,порт",скор-1,порт => порт-1|порт-2|порт-3,
39230,скособочиться,v,"кос,боч",,кос => кос-1|кос-2|кос-3|кос-4; боч => боч-1|боч-2,
39238,скотовод,s,"скот,вод",скот,вод => вод-1|вод-2,
39239,скотоводство,s,"скот,вод",скот,вод => вод-1|вод-2,
39376,славословить,v,"слав,слов",слов-1,слав => слав-1|слав-2,
39443,слезоточивый,a,"слез,точ",слез,точ => точ-1|точ-2|точ-3,
39459,слет,s,лет,,лет => лет-1|лет-2,
39541,слоненок,s,слон,,слон => слон-1|слон-2,
39661,смертоносный,a,"смерт,нос",мер-2,нос => нос-1|нос-2,
39683,смехотворный,a,"сме,х,твор",сме-1,сме => сме-1|сме-2; твор => твор-1|твор-2,
39884,собаковод,s,"собак,вод",собак,вод => вод-1|вод-2,
39885,собаководство,s,"собак,вод",собак,вод => вод-1|вод-2,
39945,совенок,s,сов,,сов => сов-1|сов-2,
39951,совершеннолетие,s,"совершенн,лет",совершенн,лет => лет-1|лет-2,
39952,совершеннолетний,a,"совершенн,лет",совершенн,лет => лет-1|лет-2,
39991,совнархоз,s,"сов,нар,хоз","нар,хоз",сов => сов-1|сов-2,
40011,совхоз,s,"сов,хоз",хоз,сов => сов-1|сов-2,
40012,совхозный,a,"сов,хоз",хоз,сов => сов-1|сов-2,
40207,сольный,a,соль,,соль => сол-1|сол-2,
40315,сопряженный,a,пряж,,пряж => пряж-1|пряж-2|пряж-3,
40345,сорокалетие,s,"сорок,лет",сорок-1,лет => лет-1|лет-2,
40346,сорокалетний,a,"сорок,лет",сорок-1,лет => лет-1|лет-2,
40700,спинномозговой,a,"спин,мозг",спин,мозг => мозг-1|мозг-2,
40877,спутниковый,a,пут,,пут => пут-1|пут-2,
41168,створ,s,твор,,твор => твор-1|твор-2,
41175,стеганый,a,стег,,стег => стег-1|стег-2,
41316,стихосложение,s,"стих,лож",стих,лож => лож-1|лож-2,
41317,стихотворение,s,"стих,твор",стих,твор => твор-1|твор-2,
41318,стихотворец,s,"стих,твор",стих,твор => твор-1|твор-2,
41319,стихотворный,a,"стих,твор",стих,твор => твор-1|твор-2,
41352,столетие,s,"ст,лет",ст,лет => лет-1|лет-2,
41533,стреножить,v,"тр,нож",тр-1,нож => нож-1|нож-2,
41549,строгач,s,строг,,строг => строг-1|строг-2,
41552,строго-настрого,adv,"строг,строг",,строг => строг-1|строг-2; строг => строг-1|строг-2,
41744,судебно-медицинский,a,"суд,медиц",медиц,суд => суд-1|суд-2,
41746,судебно-психиатрический,a,"суд,псих,иатр","псих,иатр",суд => суд-1|суд-2,
41760,судоверфь,s,"суд,верфь",верф,суд => суд-1|суд-2,
41761,судовладелец,s,"суд,влад",влад,суд => суд-1|суд-2,
41762,судоводитель,s,"суд,вод",,суд => суд-1|суд-2; вод => вод-1|вод-2,
41766,судопроизводство,s,"суд,производ",вод-1,суд => суд-1|суд-2,
41772,судостроительный,a,"суд,стро",стро(j),суд => суд-1|суд-2,
41773,судоустройство,s,"суд,строй",стро(j),суд => суд-1|суд-2,
41774,судоходный,a,"суд,ход",ход,суд => суд-1|суд-2,
41775,судоходство,s,"суд,ход",ход,суд => суд-1|суд-2,
41789,сужать,v,уж,,уж => уж-1|уж-2|уж-3|уж-4,
41790,сужаться,v,уж,,уж => уж-1|уж-2|уж-3|уж-4,
41860,супермен,s,мен,,мен => мен-1|мен-2,
41933,сухопутный,a,"сух,пут",сух,пут => пут-1|пут-2,
42106,сыпануть,v,сып,,сып => сып-1|сып-2,
42114,сыр-бор,s,"сыр,бор",сыр,бор => бор-1|бор-2|бор-3,
42389,театровед,s,"театр,вед",театр,вед => вед-1|вед-2,
42446,теленок,s,тел,,тел => тел-1|тел-2,
42484,телка,s,тел,,тел => тел-1|тел-2,
42489,телосложение,s,"тел,слож",лож-1,тел => тел-1|тел-2,
42499,тема,s,тем,,тем => тем-1|тем-2,
42500,тематика,s,тем,,тем => тем-1|тем-2,
42502,тематический,a,тем,,тем => тем-1|тем-2,
42510,темненький,a,тем,,тем => тем-1|тем-2,
42519,темноволосый,a,"тем,волос",волос,тем => тем-1|тем-2,
42522,темно-желтый,a,"тем,желт",желт,тем => тем-1|тем-2,
42523,темно-зеленый,a,"тем,зелен",зел,тем => тем-1|тем-2,
42526,темно-красный,a,"тем,красн",крас-1,тем => тем-1|тем-2,
42530,темно-русый,a,"тем,рус",,тем => тем-1|тем-2; рус => рус-1|рус-2,
42531,темно-серый,a,"тем,сер",,тем => тем-1|тем-2; сер => сер-1|сер-2,
42532,темно-синий,a,"тем,син",син,тем => тем-1|тем-2,
42535,темнохвойный,a,"тем,хвой",хво(j),тем => тем-1|тем-2,
42536,темный,a,тем,,тем => тем-1|тем-2,
42553,теневыносливый,a,"тен,нос",тен,нос => нос-1|нос-2,
42598,теплокровный,a,"тепл,кров",тепл,кров => кров-1|кров-2,
42600,теплоноситель,s,"тепл,нос",тепл,нос => нос-1|нос-2,
42603,теплопроводность,s,"тепл,вод",тепл,вод => вод-1|вод-2,
42628,терка,s,тер,,тер => тер-1|тер-2,
42646,термос,s,"терм,ос",терм,ос => ос-1|ос-2,
42678,терский,a,тер,,тер => тер-1|тер-2,
42679,тертый,a,тер,,тер => тер-1|тер-2,
42866,тлетворный,a,"тл,твор",тл-1,твор => твор-1|твор-2,
42882,товаровед,s,"товар,вед",товар,вед => вед-1|вед-2,
42884,товарообмен,s,"товар,мен",товар,мен => мен-1|мен-2,
42940,толстогубый,a,"толст,губ",толст,губ => губ-1|губ-2|губ-3,
42973,томография,s,"том,граф",граф,том => том-1|том-2,
42975,тон,s,тон,,тон => тон-1|тон-2,
42976,тональность,s,тон,,тон => тон-1|тон-2,
42977,тональный,a,тон,,тон => тон-1|тон-2,
42980,тонизировать,v,тон,,тон => тон-1|тон-2,
42983,тоника,s,тон,,тон => тон-1|тон-2,
42984,тонировать,v,тон,,тон => тон-1|тон-2,
42994,тонометр,s,"тон,метр",метр,тон => тон-1|тон-2,
43007,топленый,a,топл,,топл => топ-1|топ-2|топ-3,
43008,топливно-энергетический,a,"топл,ив,энерг","ив,энерг",топл => топ-1|топ-2|топ-3,
43015,топограф,s,"топ,граф",граф,топ => топ-1|топ-2|топ-3,
43016,топографический,a,"топ,граф",граф,топ => топ-1|топ-2|топ-3,
43017,топография,s,"топ,граф",граф,топ => топ-1|топ-2|топ-3,
43022,топология,s,"топ,лог",лог,топ => топ-1|топ-2|топ-3,
43025,топонимика,s,"топ,оним",оним,топ => топ-1|топ-2|топ-3,
43054,торгово-промышленный,a,"торг,промышл",мышл,торг => торг-1|торг-2,
43055,торгово-экономический,a,"торг,эконом",эконом,торг => торг-1|торг-2,
43137,тошнотворный,a,"тошн,твор",тошн,твор => твор-1|твор-2,
43332,треножник,s,"тр,нож",тр-1,нож => нож-1|нож-2,
43377,трехдневный,a,"тр,ех,дн","тр-1,ех",дн => дн-1|дн-2,
43383,трехлетний,a,"тр,ех,лет","тр-1,ех",лет => лет-1|лет-2,
43385,трехмерный,a,"тр,ех,мер","тр-1,ех",мер => мер-1|мер-2|мер-3,
43386,трехместный,a,"тр,ех,мест","тр-1,ех",мест => мест-1|мест-2,
43399,трехтомник,s,"тр,ех,том","тр-1,ех",том => том-1|том-2,
43400,трехтомный,a,"тр,ех,том","тр-1,ех",том => том-1|том-2,
43426,тридцатилетие,s,"тр,дцат,лет","тр-1,дцат",лет => лет-1|лет-2,
43427,тридцатилетний,a,"тр,дцат,лет","тр-1,дцат",лет => лет-1|лет-2,
43444,тринадцатилетний,a,"тр,дцат,лет","тр-1,дцат",лет => лет-1|лет-2,
43523,трубопровод,s,"труб,вод",труб,вод => вод-1|вод-2,
43524,трубопроводный,a,"труб,вод",труб,вод => вод-1|вод-2,
43714,туш,s,туш,,туш => туш-1|туш-2,
43718,тушенка,s,туш,,туш => туш-1|туш-2,
43719,тушеный,a,туш,,туш => туш-1|туш-2,
43750,тысячелетие,s,"тысяч,лет",тысяч,лет => лет-1|лет-2,
43751,тысячелетний,a,"тысяч,лет",тысяч,лет => лет-1|лет-2,
43812,тяжелобольной,a,"тяж,ел,боль","тяж,ел",боль => бол-1|бол-2,
43813,тяжелобольной,s,"тяж,ел,боль","тяж,ел",боль => бол-1|бол-2,
43816,тяжеловес,s,"тяж,ел,вес","тяж,ел",вес => вес-1|вес-2|вес-3|вес-4,
43817,тяжеловесный,a,"тяж,ел,вес","тяж,ел",вес => вес-1|вес-2|вес-3|вес-4,
43818,тяжелораненый,s,"тяж,ел,ран","тяж,ел",ран => ран-1|ран-2,
44014,угледобывающий,a,"угл,добы",бы,угл => угл-1|угл-2,
44015,угледобыча,s,"угл,добы",бы,угл => угл-1|угл-2,
44016,углекислота,s,"угл,кис",,угл => угл-1|угл-2; кис => кис-1|кис-2|кис-3,
44017,углекислый,a,"угл,кис",,угл => угл-1|угл-2; кис => кис-1|кис-2|кис-3,
44227,удушающий,a,душ,,душ => душ-1|душ-2,
44508,умирающий,a,мир,,мир => мир-1|мир-2,
44509,умирающий,s,мир,,мир => мир-1|мир-2,
44510,умиротворение,s,"мир,твор",,мир => мир-1|мир-2; твор => твор-1|твор-2,
44513,умиротворенный,a,"мир,твор",,мир => мир-1|мир-2; твор => твор-1|твор-2,
44515,умиротворять,v,"мир,твор",,мир => мир-1|мир-2; твор => твор-1|твор-2,
44663,уплотненный,a,плотн,,плотн => плот-1|плот-2|плот-3,
44777,уравновесить,v,"равн,вес",рав,вес => вес-1|вес-2|вес-3|вес-4,
44778,уравновешенность,s,"равн,веш",рав,веш => веш-1|веш-2,
44780,уравновешивать,v,"равн,веш",рав,веш => веш-1|веш-2,
44781,уравновешиваться,v,"равн,веш",рав,веш => веш-1|веш-2,
45084,утихомиривать,v,"тих,мир",тих,мир => мир-1|мир-2,
45086,утихомириться,v,"тих,мир",тих,мир => мир-1|мир-2,
45693,флотоводец,s,"флот,вод",флот,вод => вод-1|вод-2,
45829,фотокопия,s,"фото,коп",фото,коп => коп-1|коп-2|коп-3,
45953,футбол,s,"фут,бол",фут,бол => бол-1|бол-2,
45954,футболист,s,"фут,бол",фут,бол => бол-1|бол-2,
45955,футболка,s,"фут,бол",фут,бол => бол-1|бол-2,
45956,футбольный,a,"фут,боль",фут,боль => бол-1|бол-2,
46181,хладнокровный,a,"хлад,кров",хлад,кров => кров-1|кров-2,
46192,хлебобулочный,a,"хлеб,булоч",булоч,хлеб => хлеб-1|хлеб-2,
46193,хлебозавод,s,"хлеб,завод",вод-1,хлеб => хлеб-1|хлеб-2,
46196,хлебопекарный,a,"хлеб,пек",пек,хлеб => хлеб-1|хлеб-2,
46197,хлеборез,s,"хлеб,рез",рез,хлеб => хлеб-1|хлеб-2,
46198,хлебороб,s,"хлеб,роб",роб,хлеб => хлеб-1|хлеб-2,
46199,хлебосольный,a,"хлеб,соль",,хлеб => хлеб-1|хлеб-2; соль => сол-1|сол-2,
46200,хлебосольство,s,"хлеб,соль",,хлеб => хлеб-1|хлеб-2; соль => сол-1|сол-2,
46201,хлеб-соль,s,"хлеб,соль",,хлеб => хлеб-1|хлеб-2; соль => сол-1|сол-2,
46322,холоднокатаный,a,"холод,кат",холод,кат => кат-1|кат-2,
46353,хоровод,s,"хор,вод",хор-2,вод => вод-1|вод-2,
46432,хромоножка,s,"хром,нож",хром,нож => нож-1|нож-2,
46556,цветоводство,s,"цвет,вод",цвет,вод => вод-1|вод-2,
46559,цветонос,s,"цвет,нос",цвет,нос => нос-1|нос-2,
46574,целенаправленность,s,"цел,направл",прав,цел => цел-1|цел-2,
46579,целесообразность,s,"цел,сообраз",раз-1,цел => цел-1|цел-2,
46580,целесообразный,a,"цел,сообраз",раз-1,цел => цел-1|цел-2,
46581,целеуказание,s,"цел,указ",каз-1,цел => цел-1|цел-2,
46584,целеустремленный,a,"цел,стремл",стрем-2,цел => цел-1|цел-2,
46616,целочисленный,a,"цел,числ",числ,цел => цел-1|цел-2,
46619,цельнометаллический,a,"цель,металл",металл,цель => цел-1|цел-2,
46825,чародейство,s,"чар,дей",де(j),чар => чар-1|чар-2,
46850,частокол,s,"част,кол",,част => част-1|част-2; кол => кол-1|кол-2|кол-3,
46956,черепно-мозговой,a,"череп,мозг",череп,мозг => мозг-1|мозг-2,
46986,чернобурка,s,"черн,бур",черн,бур => бур-1|бур-2|бур-3,
46987,черно-бурый,a,"черн,бур",черн,бур => бур-1|бур-2|бур-3,
47004,черноморец,s,"черн,мор",черн,мор => мор-1|мор-2,
47005,черноморский,a,"черн,мор",черн,мор => мор-1|мор-2,
47009,черносотенец,s,"черн,сот",черн,сот => сот-1|сот-2,
47024,черт,s,черт,,черт => черт-1|черт-2,
47027,чертежник,s,"черт,еж",еж,черт => черт-1|черт-2,
47028,чертежный,a,"черт,еж",еж,черт => черт-1|черт-2,
47029,чертенок,s,черт,,черт => черт-1|черт-2,
47032,чертов,a,черт,,черт => черт-1|черт-2,
47038,черточка,s,черт,,черт => черт-1|черт-2,
47088,четырехлетний,a,"четыр,ех,лет","четыр,ех",лет => лет-1|лет-2,
47093,четырехугольник,s,"четыр,ех,уголь","четыр,ех",уголь => угол-1|угол-2,
47097,четырнадцатилетний,a,"четыр,дцат,лет","четыр,дцат",лет => лет-1|лет-2,
47122,чин,s,чин,,чин => чин-1|чин-2,
47129,чиновник,s,чин,,чин => чин-1|чин-2,
47133,чиновный,a,чин,,чин => чин-1|чин-2,
47162,чистокровный,a,"чист,кров",чист,кров => кров-1|кров-2,
47164,чистоплотность,s,"чист,плотн",чист,плотн => плот-1|плот-2|плот-3,
47165,чистоплотный,a,"чист,плотн",чист,плотн => плот-1|плот-2|плот-3,
47406,шарообразный,a,"шар,образ",раз-1,шар => шар-1|шар-2,
47493,шелкопряд,s,"шелк,пряд",шелк,пряд => пряд-1|пряд-2,
47530,шестерка,s,шест,,шест => шест-1|шест-2,
47532,шестидесятилетие,s,"шест,десят,лет",десят,шест => шест-1|шест-2; лет => лет-1|лет-2,
47533,шестидесятилетний,a,"шест,десят,лет",десят,шест => шест-1|шест-2; лет => лет-1|лет-2,
47534,шестидесятник,s,"шест,десят",десят,шест => шест-1|шест-2,
47535,шестидневный,a,"шест,дн",,шест => шест-1|шест-2; дн => дн-1|дн-2,
47536,шестизначный,a,"шест,знач",зна(j),шест => шест-1|шест-2,
47537,шестилетний,a,"шест,лет",,шест => шест-1|шест-2; лет => лет-1|лет-2,
47538,шестимесячный,a,"шест,месяч",месяч,шест => шест-1|шест-2,
47540,шестипалый,a,"шест,пал",,шест => шест-1|шест-2; пал => пал-1|пал-2|пал-3|пал-4,
47545,шестиэтажный,a,"шест,этаж",этаж,шест => шест-1|шест-2,
47546,шестнадцатилетний,a,"шест,дцат,лет",дцат,шест => шест-1|шест-2; лет => лет-1|лет-2,
47561,шиворот-навыворот,adv,"шиворот,ворот",шиворот,ворот => ворот-1|ворот-2,
47603,широкогрудый,a,"широк,груд",шир-1,груд => груд-1|груд-2,
47608,широкополосный,a,"широк,полос",шир-1,полос => полос-1|полос-2,
47616,ширпотреб,s,"шир,треб",треб,шир => шир-1|шир-2,
47771,шпиономания,s,"шпион,ман",шпион,ман => ман-1|ман-2,
47872,шугануть,v,шуг,,шуг => шуг-1|шуг-2,
47949,щелкопер,s,"щелк,пер",щелк,пер => пер-1|пер-2,
48153,экспортировать,v,порт,,порт => порт-1|порт-2|порт-3,
48154,экспортироваться,v,порт,,порт => порт-1|порт-2|порт-3,
48156,экспортный,a,порт,,порт => порт-1|порт-2|порт-3,
48254,электропередача,s,"электр,да",электр,да => да-1|да-2|да-3,
48260,электропривод,s,"электр,вод",электр,вод => вод-1|вод-2,
48261,электропроводка,s,"электр,вод",электр,вод => вод-1|вод-2,
48262,электропроводность,s,"электр,вод",электр,вод => вод-1|вод-2,
48263,электроразведка,s,"электр,вед",электр,вед => вед-1|вед-2,
48370,энергосберегающий,a,"энерг,берег",энерг,берег => берег-1|берег-2,
48539,этнос,s,"этн,ос",этн,ос => ос-1|ос-2,
48581,югослав,s,"юг,слав",юг,слав => слав-1|слав-2,
48582,югославский,a,"юг,слав",юг,слав => слав-1|слав-2,
48690,языковед,s,"язык,вед",язык,вед => вед-1|вед-2,
48738,яр,s,яр,,яр => яр-1|яр-2,
